solicitud_id,usuarios_afectados,incidencias_reportadas,complejidad_servicio,horas_estimadas,cambios_recientes,canales_involucrados,tiempo_atencion_horas,costo_atencion_usd
SRV-0001,90,5,2,2.49,0,2,4.31,397.01
SRV-0002,151,5,1,0.97,0,1,4.14,253.18
SRV-0003,60,6,3,3.43,0,3,3.88,544.57
SRV-0004,224,7,2,2.94,0,3,5.13,512.25
SRV-0005,37,8,1,2.19,0,4,3.17,330.55
SRV-0006,193,8,3,4.96,0,3,7.3,765.56
SRV-0007,218,10,1,3.69,1,3,7.15,503.87
SRV-0008,11,5,4,4.2,1,3,5.84,602.21
SRV-0009,85,7,1,3.34,1,3,5.55,381.9
SRV-0010,89,6,3,3.36,0,3,4.6,550.3
SRV-0011,299,6,2,3.99,0,4,5.25,594.57
SRV-0012,111,4,1,3.34,1,2,3.17,441.38
SRV-0013,16,11,2,3.95,0,2,7.33,623.81
SRV-0014,75,8,4,3.69,1,2,7.72,780.55
SRV-0015,220,7,3,4.39,1,2,6.06,686.32
SRV-0016,38,5,2,2.6,0,4,4.37,448.8
SRV-0017,51,6,1,2.34,0,2,3.73,267.89
SRV-0018,48,7,2,3.44,0,2,4.37,471.1
SRV-0019,42,6,2,3.55,1,2,4.46,538.4
SRV-0020,255,6,2,3.32,0,4,4.93,452.23
SRV-0021,136,5,1,2.22,0,3,4.14,312.13
SRV-0022,121,6,4,4.34,1,3,6.93,685.43
SRV-0023,47,9,3,3.9,0,4,6.22,695.92
SRV-0024,25,7,3,3.56,0,3,5.2,606.06
SRV-0025,199,6,4,3.64,0,1,6.23,641.98
SRV-0026,13,8,2,3.83,0,1,5.9,437.28
SRV-0027,153,7,4,3.92,0,1,6.94,769.86
SRV-0028,53,11,3,4.13,1,1,8.39,738.33
SRV-0029,22,7,2,3.16,0,4,4.43,512.84
SRV-0030,30,8,3,4.93,1,2,7.0,689.98
SRV-0031,60,10,2,3.6,0,1,6.63,546.22
SRV-0032,30,6,4,4.43,1,2,6.65,758.13
SRV-0033,48,7,2,4.1,0,3,6.24,472.84
SRV-0034,8,11,4,5.2,1,2,8.96,824.5
SRV-0035,36,6,3,3.53,0,1,5.62,564.88
SRV-0036,183,5,3,3.74,1,3,6.06,558.78
SRV-0037,69,6,2,2.86,0,1,4.82,407.12
SRV-0038,46,6,4,3.14,1,2,5.33,680.09
SRV-0039,68,5,1,4.13,0,2,3.25,273.11
SRV-0040,123,5,4,4.55,0,1,4.5,626.33
SRV-0041,39,5,2,3.63,1,2,3.4,457.09
SRV-0042,52,8,5,3.8,0,4,6.07,787.86
SRV-0043,21,8,4,4.57,1,3,6.74,823.49
SRV-0044,70,6,4,4.6,1,3,6.0,751.74
SRV-0045,22,7,3,3.9,1,1,5.55,620.93
SRV-0046,61,9,3,3.47,0,4,7.17,615.68
SRV-0047,115,7,2,4.34,1,3,6.3,481.33
SRV-0048,72,3,3,3.27,0,3,3.75,445.31
SRV-0049,122,7,2,2.41,0,4,5.11,496.96
SRV-0050,32,5,2,3.4,0,4,2.7,405.86
SRV-0051,50,6,3,3.59,1,3,4.97,562.81
SRV-0052,30,4,3,3.42,1,3,5.32,490.54
